symbol,company,sector,industry
III.L,3i Group,Financial Services,Asset Management
MAERSK-B.CO,A.P. Moller-Maersk,Industrials,Shipping & Ports
A2A.MI,A2A,Utilities,Utilities - Diversified
AAK.ST,AAK,Consumer Defensive,Packaged Foods
AALB.AS,Aalberts,Industrials,Diversified Industrials
ABBN.SW,ABB,Industrials,Diversified Industrials
ABN.AS,ABN AMRO Bank,Financial Services,Banks - Global
AC.PA,Accor,Consumer Cyclical,Lodging
ACKB.BR,Ackermans & Van Haaren,Financial Services,Asset Management
ACS.MC,ACS,Industrials,Engineering & Construction
ADEN.SW,Adecco,Industrials,Staffing & Outsourcing Services
ADS.DE,Adidas,Consumer Cyclical,Footwear & Accessories
ADM.L,Admiral Group,Financial Services,Insurance - Property & Casualty
ADP.PA,ADP,Industrials,Airports & Air Services
ADYEN.AS,Adyen,Technology,Software - Application
AGN.AS,Aegon,Financial Services,Insurance - Diversified
AENA.MC,Aena SME,Industrials,Infrastructure Operations
AGS.BR,Ageas,Financial Services,Insurance - Diversified
AGK.L,Aggreko,Industrials,Rental & Leasing Services
AD.AS,Ahold Delhaize,Consumer Defensive,Grocery Stores
A5G.IR,AIB Group,Financial Services,Banks - Regional - Europe
AF.PA,Air France-KLM,Industrials,Airlines
AI.PA,Air Liquide,Basic Materials,Chemicals
AIR.PA,Airbus,Industrials,Aerospace & Defense
AKERBP.OL,Aker BP,Energy,Oil & Gas E&P
AKZA.AS,Akzo Nobel,Basic Materials,Specialty Chemicals
ALC.SW,Alcon,Healthcare,Medical Instruments & Supplies
ALFA.ST,Alfa Laval,Industrials,Diversified Industrials
ALV.DE,Allianz,Financial Services,Insurance - Diversified
ALO.PA,Alstom,Industrials,Diversified Industrials
ATE.PA,Alten,Technology,Information Technology Services
ALT.PA,Altran Technologies,Industrials,Engineering & Construction
AMS.MC,Amadeus IT Group,Technology,Information Technology Services
AMBU-B.CO,Ambu,Healthcare,Medical Devices
AMP.MI,Amplifon,Healthcare,Medical Instruments & Supplies
AMS.SW,AMS,Technology,Semiconductors
AMUN.PA,Amundi,Financial Services,Asset Management
ANDR.VI,Andritz,Industrials,Industrial Distribution
AAL.L,Anglo American,Basic Materials,Industrial Metals & Minerals
ABI.BR,Anheuser-Busch InBev,Consumer Defensive,Beverages - Brewers
ANTO.L,Antofagasta,Basic Materials,Copper
MT.AS,ArcelorMittal,Basic Materials,Steel
ARGX.BR,Argenx,Healthcare,Biotechnology
AKE.PA,Arkema,Basic Materials,Specialty Chemicals
AT1.DE,Aroundtown,Real Estate,Real Estate - General
ASHM.L,Ashmore Group,Financial Services,Asset Management
AHT.L,Ashtead Group,Industrials,Rental & Leasing Services
ASM.AS,ASM International,Technology,Semiconductor Equipment & Materials
ASML.AS,ASML Holding,Technology,Semiconductor Equipment & Materials
ASRNL.AS,ASR Nederland,Financial Services,Insurance - Diversified
ASSA-B.ST,Assa Abloy,Industrials,Security & Protection Services
G.MI,Assicurazioni Generali,Financial Services,Insurance - Diversified
ABF.L,Associated British Foods,Consumer Defensive,Packaged Foods
AZN.L,AstraZeneca,Healthcare,Drug Manufacturers - Major
ATL.MI,Atlantia,Industrials,Infrastructure Operations
ATCO-B.ST,Atlas Copco,Industrials,Diversified Industrials
ATO.PA,Atos,Technology,Information Technology Services
AUTO.L,Auto Trader Group,Technology,Internet Content & Information
AVV.L,AVEVA Group,Technology,Software - Application
AV.L,Aviva,Financial Services,Insurance - Diversified
CS.PA,AXA,Financial Services,Insurance - Diversified
BME.L,B&M European Value Retail,Consumer Defensive,Discount Stores
BA.L,BAE Systems,Industrials,Aerospace & Defense
BBY.L,Balfour Beatty,Industrials,Engineering & Construction
BALN.SW,Bâloise Holding,Financial Services,Insurance - Diversified
BAMI.MI,Banco BPM,Financial Services,Banks - Regional - Europe
BIRG.IR,Bank Of Ireland Group,Financial Services,Banks - Regional - Europe
BKIA.MC,Bankia,Financial Services,Banks - Regional - Europe
BKT.MC,Bankinter,Financial Services,Banks - Regional - Europe
BARC.L,Barclays,Financial Services,Banks - Global
BDEV.L,Barratt Developments,Consumer Cyclical,Residential Construction
BARN.SW,Barry Callebaut,Consumer Defensive,Confectioners
BAS.DE,BASF,Basic Materials,Chemicals
BAYN.DE,Bayer,Healthcare,Drug Manufacturers - Major
BION.SW,BB Biotech,Healthcare,Biotechnology
BBA.L,BBA Aviation,Industrials,Airports & Air Services
BBVA.MC,Banco Bilbao Vizcaya Argentaria,Financial Services,Banks - Global
BCP.LS,Banco Comercial Português,Financial Services,Banks - Regional - Europe
SAB.MC,Banco de Sabadell,Financial Services,Banks - Regional - Europe
SAN.MC,Banco Santander,Financial Services,Banks - Global
BEZ.L,Beazley,Financial Services,Insurance - Property & Casualty
BC8.DE,Bechtle,Technology,Information Technology Services
BEI.DE,Beiersdorf,Consumer Defensive,Household & Personal Products
BEAN.SW,BELIMO Holding,Basic Materials,Building Materials
BWY.L,Bellway,Consumer Cyclical,Residential Construction
BKG.L,Berkeley Group Holdings,Consumer Cyclical,Residential Construction
BHP.L,BHP Group,Basic Materials,Industrial Metals & Minerals
BB.PA,Société BIC,Consumer Defensive,Household & Personal Products
BIM.PA,bioMérieux,Healthcare,Diagnostics & Research
BMW.DE,BMW,Consumer Cyclical,Auto Manufacturers
BNP.PA,BNP Paribas,Financial Services,Banks - Regional - Europe
BOL.ST,Boliden,Basic Materials,Industrial Metals & Minerals
BOL.PA,Bollore,Industrials,Integrated Shipping & Logistics
BME.MC,Bolsas y Mercados Españoles,Financial Services,Financial Exchanges
BOKA.AS,Boskalis Westminster,Industrials,Engineering & Construction
EN.PA,Bouygues,Industrials,Engineering & Construction
BP.L,BP,Energy,Oil & Gas Integrated
BNR.DE,Brenntag,Basic Materials,Specialty Chemicals
BATS.L,British American Tobacco,Consumer Defensive,Tobacco
BLND.L,British Land Company,Real Estate,REIT - Retail
BVIC.L,Britvic,Consumer Defensive,Beverages - Soft Drinks
BT-A.L,BT Group,Communication Services,Telecom Services
BTG.L,BTG,Healthcare,Biotechnology
BUCN.SW,Bucher Industries,Industrials,Diversified Industrials
BNZL.L,Bunzl,Consumer Defensive,Food Distribution
BRBY.L,Burberry,Consumer Cyclical,Luxury Goods
BVI.PA,Bureau Veritas,Industrials,Business Services
CABK.MC,CaixaBank,Financial Services,Banks - Regional - Europe
CAP.PA,Capgemini,Technology,Information Technology Services
CPI.L,Capita,Industrials,Business Services
AFX.DE,Carl Zeiss Meditec,Healthcare,Medical Instruments & Supplies
CARL-B.CO,Carlsberg,Consumer Defensive,Beverages - Brewers
CCL.L,Carnival,Consumer Cyclical,Leisure
CA.PA,Carrefour,Consumer Defensive,Grocery Stores
CO.PA,"Casino, Guichard-Perrachon",Consumer Defensive,Grocery Stores
CAST.ST,Castellum,Real Estate,Real Estate - General
0LX1.IL,CD Projekt,Technology,Electronic Gaming & Multimedia
CLNX.MC,Cellnex Telecom,Communication Services,Telecom Services
CMBN.SW,Cembra Money Bank,Financial Services,Banks - Regional - Europe
CNA.L,Centrica,Utilities,Utilities - Diversified
CHR.CO,Chr. Hansen Holding,Basic Materials,Specialty Chemicals
CDI.PA,Christian Dior,Consumer Cyclical,Luxury Goods
CFR.SW,Compagnie Financière Richemont,Consumer Cyclical,Luxury Goods
CINE.L,Cineworld Group,Consumer Cyclical,Media - Diversified
CLN.SW,Clariant,Basic Materials,Specialty Chemicals
CBG.L,Close Brothers Group,Financial Services,Asset Management
CNHI.MI,CNH Industrial NV,Industrials,Farm & Construction Equipment
CNP.PA,CNP Assurances,Financial Services,Insurance - Life
COB.L,Cobham,Industrials,Aerospace & Defense
CCH.L,Coca-Cola HBC,Consumer Defensive,Beverages - Soft Drinks
COFB.BR,Cofinimmo,Real Estate,REIT - Diversified
COLO-B.CO,Coloplast,Healthcare,Medical Instruments & Supplies
CBK.DE,Commerzbank,Financial Services,Banks - Regional - Europe
CPG.L,Compass Group,Consumer Cyclical,Restaurants
CON.DE,Continental,Consumer Cyclical,Auto Parts
CTEC.L,Convatec Group,Healthcare,Medical Instruments & Supplies
1COV.DE,Covestro,Basic Materials,Specialty Chemicals
COVH.PA,Covivio,Real Estate,REIT - Hotel & Motel
ACA.PA,Crédit Agricole,Financial Services,Banks - Regional - Europe
CSGN.SW,Credit Suisse Group,Financial Services,Banks - Global
CRG.IR,CRH,Basic Materials,Building Materials
CRDA.L,Croda International,Basic Materials,Specialty Chemicals
CYBG.L,CYBG,Financial Services,Banks - Regional - Europe
DAI.DE,Daimler,Consumer Cyclical,Auto Manufacturers
BN.PA,Danone,Consumer Defensive,Packaged Foods
DANSKE.CO,Danske Bank,Financial Services,Banks - Regional - Europe
AM.PA,Dassault Aviation,Industrials,Aerospace & Defense
DSY.PA,Dassault Systèmes,Technology,Software
CPR.MI,Davide Campari,Consumer Defensive,Beverages - Wineries & Distilleries
DCC.L,DCC,Energy,Oil & Gas Refining & Marketing
DPH.L,Dechra Pharmaceuticals,Healthcare,Drug Manufacturers - Major
DHER.DE,Delivery Hero,Technology,Internet Content & Information
WDH.CO,Demant,Healthcare,Medical Instruments & Supplies
DLN.L,Derwent London,Real Estate,REIT - Diversified
DBK.DE,Deutsche Bank,Financial Services,Banks - Regional - Europe
DB1.DE,Deutsche Börse,Financial Services,Financial Exchanges
DPW.DE,Deutsche Post,Industrials,Integrated Shipping & Logistics
DTE.DE,Deutsche Telekom,Communication Services,Telecom Services
DWNI.DE,Deutsche Wohnen,Real Estate,Real Estate - General
DGE.L,Diageo,Consumer Defensive,Beverages - Wineries & Distilleries
DLG.DE,Dialog Semiconductor,Technology,Semiconductors
DIA.MI,DiaSorin,Healthcare,Diagnostics & Research
DLG.L,Direct Line Insurance Group,Financial Services,Insurance - Diversified
DKSH.SW,DKSH Holding,Industrials,Business Services
DNB.OL,DNB,Financial Services,Banks - Regional - Europe
DOM.ST,Dometic Group,Technology,Consumer Electronics
SMDS.L,DS Smith,Consumer Cyclical,Packaging & Containers
DSV.CO,DSV,Industrials,Integrated Shipping & Logistics
DUFN.SW,Dufry,Consumer Cyclical,Specialty Retail
EOAN.DE,E.ON,Utilities,Utilities - Diversified
EZJ.L,EasyJet,Industrials,Airlines
EDEN.PA,Edenred,Financial Services,Credit Services
EDF.PA,Electricité de France,Utilities,Utilities - Diversified
EDP.LS,EDP - Energias de Portugal,Utilities,Utilities - Diversified
FGR.PA,Eiffage,Industrials,Engineering & Construction
ECM.L,Electrocomponents,Industrials,Industrial Distribution
ELUX-B.ST,Electrolux,Technology,Consumer Electronics
EKTA-B.ST,Elekta,Healthcare,Medical Instruments & Supplies
ELIS.PA,Elis,Industrials,Business Services
ELISA.HE,Elisa,Communication Services,Telecom Services
EMSN.SW,EMS-CHEMIE HOLDING,Basic Materials,Chemicals
ENG.MC,Enagas,Utilities,Utilities - Regulated Gas
ELE.MC,Endesa,Utilities,Utilities - Regulated Electric
ENEL.MI,Enel,Utilities,Utilities - Diversified
ENGI.PA,Engie,Utilities,Utilities - Diversified
ENI.MI,Eni,Energy,Oil & Gas Integrated
EPI-A.ST,Epiroc,Industrials,Farm & Construction Equipment
EQNR.OL,Equinor,Energy,Oil & Gas Integrated
ERIC-B.ST,Ericsson LM,Technology,Communication Equipment
EBS.VI,Erste Group Bank,Financial Services,Banks - Regional - Europe
EL.PA,EssilorLuxottica,Healthcare,Medical Instruments & Supplies
ESSITY-B.ST,Essity,Consumer Defensive,Household & Personal Products
COLR.BR,ETS Colruyt,Consumer Defensive,Grocery Stores
RF.PA,Eurazeo,Financial Services,Asset Management
ERF.PA,Eurofins Scientific,Healthcare,Diagnostics & Research
ENX.PA,Euronext,Financial Services,Financial Exchanges
ETL.PA,Eutelsat Communications,Technology,Communication Equipment
EVK.DE,Evonik Industries,Basic Materials,Specialty Chemicals
EVT.DE,Evotec,Healthcare,Drug Manufacturers - Specialty & Generic
EVR.L,EVRAZ,Basic Materials,Steel
EXO.MI,EXOR,Financial Services,Asset Management
EXPN.L,Experian,Industrials,Business Services
FABG.ST,Fabege,Real Estate,Real Estate - General
BALD-B.ST,Fastighets Balder,Real Estate,Real Estate Services
EO.PA,Faurecia,Consumer Cyclical,Auto Parts
FERG.L,Ferguson,Industrials,Industrial Distribution
RACE.MI,Ferrari,Consumer Cyclical,Auto Manufacturers
FER.MC,Ferrovial,Industrials,Infrastructure Operations
FCA.MI,Fiat Chrysler Automobiles,Consumer Cyclical,Auto Manufacturers
FBK.MI,FinecoBank,Financial Services,Banks - Regional - Europe
FHZN.SW,Flughafen Zürich,Industrials,Airports & Air Services
FLTR.L,Flutter Entertainment,Consumer Cyclical,Gambling
FORTUM.HE,Fortum,Utilities,Utilities - Diversified
FRA.DE,Fraport,Industrials,Infrastructure Operations
FNTN.DE,Freenet,Communication Services,Telecom Services
FRE.DE,Fresenius,Healthcare,Medical Care
FME.DE,Fresenius Medical Care,Healthcare,Medical Care
FPE.DE,Fuchs Petrolub,Basic Materials,Chemicals
GLPG.AS,Galapagos,Healthcare,Biotechnology
GALE.SW,Galenica,Healthcare,Biotechnology
GALP.LS,Galp Energia,Energy,Oil & Gas Integrated
G1A.DE,GEA Group,Industrials,Diversified Industrials
GEBN.SW,Geberit,Basic Materials,Building Materials
GFC.PA,Gecina,Real Estate,REIT - Office
GMAB.CO,Genmab,Healthcare,Biotechnology
FI.SW,Georg Fischer,Industrials,Diversified Industrials
GXI.DE,Gerresheimer,Healthcare,Medical Instruments & Supplies
GETI-B.ST,Getinge,Healthcare,Medical Instruments & Supplies
GET.PA,Getlink,Industrials,Infrastructure Operations
GIVN.SW,Givaudan,Basic Materials,Specialty Chemicals
GJF.OL,Gjensidige Forsikring,Financial Services,Insurance - Diversified
GL9.IR,Glanbia,Consumer Defensive,Packaged Foods
GSK.L,GlaxoSmithKline,Healthcare,Drug Manufacturers - Major
GLEN.L,Glencore,Basic Materials,Industrial Metals & Minerals
GN.CO,GN Store Nord,Healthcare,Medical Devices
GYC.DE,Grand City Properties,Real Estate,Real Estate Services
GPOR.L,Great Portland Estates,Real Estate,REIT - Diversified
GNK.L,Greene King,Consumer Cyclical,Restaurants
GRG.L,Greggs,Consumer Defensive,Grocery Stores
GLJ.DE,Grenke,Financial Services,Credit Services
GRF.MC,Grifols,Healthcare,Drug Manufacturers - Major
GFS.L,GRP 4 Securicor,Industrials,Security & Protection Services
GBLB.BR,Groupe Bruxelles Lambert,Financial Services,Asset Management
GLE.PA,Société Générale,Financial Services,Banks - Regional - Europe
GVC.L,GVC Holdings,Consumer Cyclical,Resorts & Casinos
LUN.CO,H. Lundbeck,Healthcare,Drug Manufacturers - Specialty & Generic
HLMA.L,Halma,Industrials,Security & Protection Services
HMSO.L,Hammerson,Real Estate,REIT - Retail
HNR1.DE,Hannover Rück,Financial Services,Insurance - Reinsurance
HL.L,Hargreaves Lansdown,Financial Services,Asset Management
HAS.L,Hays,Industrials,Staffing & Outsourcing Services
HEI.DE,HeidelbergCement,Basic Materials,Building Materials
HEIA.AS,Heineken,Consumer Defensive,Beverages - Brewers
HEIO.AS,Heineken Holding,Consumer Defensive,Beverages - Brewers
HLE.DE,HELLA,Consumer Cyclical,Auto Parts
HELN.SW,Helvetia Holding,Financial Services,Insurance - Diversified
HEN3.DE,Henkel,Consumer Defensive,Household & Personal Products
HM-B.ST,Hennes & Mauritz,Consumer Cyclical,Apparel Manufacturing
HER.MI,Hera,Utilities,Utilities - Diversified
RMS.PA,Hermès International,Consumer Cyclical,Luxury Goods
HEXA-B.ST,Hexagon,Industrials,Diversified Industrials
HPOL-B.ST,HEXPOL,Basic Materials,Specialty Chemicals
HIK.L,Hikma Pharmaceuticals,Healthcare,Drug Manufacturers - Specialty & Generic
HSX.L,Hiscox,Financial Services,Insurance - Property & Casualty
HOT.DE,HOCHTIEF,Industrials,Engineering & Construction
HSV.L,HomeServe,Industrials,Business Services
HWDN.L,Howden Joinery Group,Consumer Cyclical,Home Furnishings & Fixtures
HSBA.L,HSBC,Financial Services,Banks - Global
BOSS.DE,Hugo Boss,Consumer Cyclical,Apparel Manufacturing
HUH1V.HE,Huhtamäki,Consumer Cyclical,Packaging & Containers
HUSQ-B.ST,Husqvarna,Industrials,Tools & Accessories
IAG.L,International Consolidated Airlines Group,Industrials,Airlines
IBE.MC,Iberdrola,Utilities,Utilities - Diversified
ICA.ST,ICA Gruppen,Consumer Defensive,Grocery Stores
ICAD.PA,Icade,Real Estate,REIT - Diversified
IGG.L,IG Group Holdings,Financial Services,Capital Markets
ILD.PA,Iliad,Communication Services,Telecom Services
IMCD.AS,IMCD,Basic Materials,Specialty Chemicals
IMI.L,IMI,Industrials,Diversified Industrials
IMB.L,Imperial Brands,Consumer Defensive,Tobacco
INCH.L,Inchcape,Consumer Cyclical,Auto & Truck Dealerships
ITX.MC,Industria de Diseno Textil,Consumer Cyclical,Apparel Stores
INDU-C.ST,Industrivärden,Financial Services,Asset Management
INDT.ST,Indutrade,Industrials,Industrial Distribution
IFX.DE,Infineon Technologies,Technology,Semiconductors
INF.L,Informa,Consumer Cyclical,Publishing
INGA.AS,ING Groep,Financial Services,Banks - Global
ING.PA,Ingenico Group,Industrials,Business Services
ISAT.L,Inmarsat,Communication Services,Telecom Services
COL.MC,Inmobiliaria Colonial Socimi,Real Estate,REIT - Office
IGY.DE,Innogy,Utilities,Utilities - Regulated Electric
IHG.L,InterContinental Hotels Group,Consumer Cyclical,Lodging
ICP.L,Intermediate Capital Group,Financial Services,Asset Management
IP.MI,Interpump Group,Industrials,Diversified Industrials
ITRK.L,Intertek Group,Industrials,Business Services
ISP.MI,Intesa Sanpaolo,Financial Services,Banks - Regional - Europe
INVP.L,Investec,Financial Services,Asset Management
